date,year,month,mean_hh_price_MMBtu,sd_hh_price_MMBtu,date_minus_month,date_minus_year,date_minus_lag,roll_mean_hh_price_MMBtu
1997-01-01,1997,1,1.8398534706768421,0.32118187599005893,1997-02-01,1998-01-01,1998-01-01,NA
1997-02-01,1997,2,1.1486640102821053,0.1664636163385045,1997-03-01,1998-02-01,1998-02-01,NA
1997-03-01,1997,3,1.0104080410579999,0.03241651819881398,1997-04-01,1998-03-01,1998-03-01,NA
1997-04-01,1997,4,1.0871035516545455,0.051433659170186614,1997-05-01,1998-04-01,1998-04-01,NA
1997-05-01,1997,5,1.2022824461404764,0.026719643630613472,1997-06-01,1998-05-01,1998-05-01,NA
1997-06-01,1997,6,1.18055453351,0.029655344729392637,1997-07-01,1998-06-01,1998-06-01,NA
1997-07-01,1997,7,1.174631563210909,0.024970202125160643,1997-08-01,1998-07-01,1998-07-01,NA
1997-08-01,1997,8,1.3399167671085714,0.06318498368727513,1997-09-01,1998-08-01,1998-08-01,NA
1997-09-01,1997,9,1.5545447465166664,0.08302419583467929,1997-10-01,1998-09-01,1998-09-01,NA
1997-10-01,1997,10,1.6603798018043479,0.13406947390862586,1997-11-01,1998-10-01,1998-10-01,NA
1997-11-01,1997,11,1.6266686727122224,0.15124286006249624,1997-12-01,1998-11-01,1998-11-01,NA
1997-12-01,1997,12,1.270484875815909,0.06711263654082525,1998-01-01,1998-12-01,1998-12-01,1.3412910400408828
1998-01-01,1998,1,1.1329542788309999,0.021737034326574048,1998-02-01,1999-01-01,1999-01-01,1.2823827740537295
1998-02-01,1998,2,1.2076974932289473,0.024624682715194177,1998-03-01,1999-02-01,1999-02-01,1.287302230965966
1998-03-01,1998,3,1.214671210641818,0.03481982215112745,1998-04-01,1999-03-01,1999-03-01,1.3043241617646177
1998-04-01,1998,4,1.3169664856571428,0.06246695722275308,1998-05-01,1999-04-01,1999-04-01,1.3234794062648343
1998-05-01,1998,5,1.164341950477,0.03195014132280506,1998-06-01,1999-05-01,1999-05-01,1.3203176982928777
1998-06-01,1998,6,1.1800796012218182,0.08658650709882589,1998-07-01,1999-06-01,1999-06-01,1.320278120602196
1998-07-01,1998,7,1.1829790588654545,0.09900142329408083,1998-08-01,1999-07-01,1999-07-01,1.3209737452400747
